Time,BIOZ_DATA
0.0,-208
0.015625,-214
0.03125,-207
0.046875,-200
0.0625,-206
0.078125,-222
0.09375,-221
0.109375,-210
0.125,-209
0.140625,-214
0.15625,-215
0.171875,-218
0.1875,-219
0.203125,-224
0.21875,-225
0.234375,-219
0.25,-212
0.265625,-215
0.28125,-225
0.296875,-232
0.3125,-231
0.328125,-228
0.34375,-227
0.359375,-227
0.375,-223
0.390625,-230
0.40625,-237
0.421875,-241
0.4375,-241
0.453125,-241
0.46875,-241
0.484375,-247
0.5,-252
0.515625,-248
0.53125,-243
0.546875,-247
0.5625,-252
0.578125,-255
0.59375,-256
0.609375,-254
0.625,-251
0.640625,-251
0.65625,-258
0.671875,-264
0.6875,-258
0.703125,-259
0.71875,-268
0.734375,-276
0.75,-277
0.765625,-273
0.78125,-268
0.796875,-271
0.8125,-276
0.828125,-278
0.84375,-276
0.859375,-277
0.875,-275
0.890625,-269
0.90625,-266
0.921875,-271
0.9375,-277
0.953125,-278
0.96875,-278
0.984375,-277
1.0,-270
1.015625,-264
1.03125,-267
1.046875,-270
1.0625,-264
1.078125,-258
1.09375,-258
1.109375,-259
1.125,-261
1.140625,-262
1.15625,-267
1.171875,-271
1.1875,-267
1.203125,-265
1.21875,-269
1.234375,-269
1.25,-264
1.265625,-270
1.28125,-272
1.296875,-269
1.3125,-269
1.328125,-270
1.34375,-271
1.359375,-272
1.375,-275
1.390625,-273
1.40625,-275
1.421875,-279
1.4375,-282
1.453125,-282
1.46875,-280
1.484375,-280
1.5,-279
1.515625,-279
1.53125,-284
1.546875,-286
1.5625,-290
1.578125,-290
1.59375,-282
1.609375,-275
1.625,-274
1.640625,-281
1.65625,-285
1.671875,-281
1.6875,-281
1.703125,-286
1.71875,-290
1.734375,-284
1.75,-280
1.765625,-280
1.78125,-276
1.796875,-273
1.8125,-268
1.828125,-271
1.84375,-278
1.859375,-278
1.875,-271
1.890625,-268
1.90625,-270
1.921875,-269
1.9375,-266
1.953125,-271
1.96875,-276
1.984375,-273
2.0,-267
2.015625,-271
2.03125,-270
2.046875,-266
2.0625,-265
2.078125,-263
2.09375,-255
2.109375,-254
2.125,-259
2.140625,-257
2.15625,-250
2.171875,-250
2.1875,-260
2.203125,-263
2.21875,-250
2.234375,-247
2.25,-263
2.265625,-272
2.28125,-255
2.296875,-241
2.3125,-238
2.328125,-234
2.34375,-235
2.359375,-237
2.375,-230
2.390625,-221
2.40625,-225
2.421875,-228
2.4375,-220
2.453125,-212
2.46875,-209
2.484375,-207
2.5,-208
2.515625,-212
2.53125,-211
2.546875,-210
2.5625,-211
2.578125,-210
2.59375,-203
2.609375,-200
2.625,-197
2.640625,-198
2.65625,-202
2.671875,-205
2.6875,-205
2.703125,-201
2.71875,-202
2.734375,-206
2.75,-206
2.765625,-198
2.78125,-192
2.796875,-201
2.8125,-208
2.828125,-209
2.84375,-205
2.859375,-200
2.875,-201
2.890625,-198
2.90625,-198
2.921875,-204
2.9375,-208
2.953125,-209
2.96875,-212
2.984375,-212
3.0,-214
3.015625,-219
3.03125,-223
3.046875,-217
3.0625,-217
3.078125,-218
3.09375,-220
3.109375,-222
3.125,-223
3.140625,-225
3.15625,-232
3.171875,-236
3.1875,-227
3.203125,-224
3.21875,-227
3.234375,-228
3.25,-233
3.265625,-238
3.28125,-236
3.296875,-236
3.3125,-238
3.328125,-240
3.34375,-240
3.359375,-236
3.375,-241
3.390625,-250
3.40625,-257
3.421875,-254
3.4375,-254
3.453125,-258
3.46875,-258
3.484375,-257
3.5,-258
3.515625,-257
3.53125,-259
3.546875,-260
3.5625,-258
3.578125,-259
3.59375,-267
3.609375,-269
3.625,-266
3.640625,-270
3.65625,-276
3.671875,-270
3.6875,-265
3.703125,-267
3.71875,-269
3.734375,-272
3.75,-275
3.765625,-274
3.78125,-269
3.796875,-271
3.8125,-273
3.828125,-270
3.84375,-271
3.859375,-275
3.875,-277
3.890625,-272
3.90625,-265
3.921875,-276
3.9375,-285
3.953125,-280
3.96875,-270
3.984375,-264
4.0,-265
4.015625,-267
4.03125,-264
4.046875,-267
4.0625,-280
4.078125,-279
4.09375,-269
4.109375,-266
4.125,-273
4.140625,-276
4.15625,-270
4.171875,-268
4.1875,-271
4.203125,-275
4.21875,-273
4.234375,-274
4.25,-278
4.265625,-280
4.28125,-280
4.296875,-281
4.3125,-281
4.328125,-275
4.34375,-276
4.359375,-282
4.375,-283
4.390625,-283
4.40625,-284
4.421875,-289
4.4375,-286
